stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
368,257,"Riu Minyo, 33 (257)",,38.90484,1.398625,1646,https://eivissa.tib.org/web/cie/parades/-/parada/257
369,262,pou de cas Mut (262),,38.91035,1.407703,1998,https://eivissa.tib.org/web/cie/parades/-/parada/262
370,263,CS can Misses (263),,38.916035,1.417456,12340,https://eivissa.tib.org/web/cie/parades/-/parada/263
371,260,Bar Isidro (260),,38.911114,1.403428,1770,https://eivissa.tib.org/web/cie/parades/-/parada/260
372,261,Can Pereira (261),,38.911522,1.406439,2030,https://eivissa.tib.org/web/cie/parades/-/parada/261
373,266,es Cubells (266),,38.881626,1.2719,1962,https://eivissa.tib.org/web/cie/parades/-/parada/266
376,265,CS es Viver (265),,38.90471,1.416355,2071,https://eivissa.tib.org/web/cie/parades/-/parada/265
377,270,Piscines Can Misses (270),,38.913754,1.417159,1666,https://eivissa.tib.org/web/cie/parades/-/parada/270
378,271,s'Espartar (271),,38.931446,1.258911,1837,https://eivissa.tib.org/web/cie/parades/-/parada/271
379,268,Talamanca (268),,38.91402,1.44945,1861,https://eivissa.tib.org/web/cie/parades/-/parada/268
380,269,Mc Donald's (269),,38.905636,1.419928,1623,https://eivissa.tib.org/web/cie/parades/-/parada/269
383,288,Dalt Vila (288),,38.907616,1.435646,12371,https://eivissa.tib.org/web/cie/parades/-/parada/288
389,294,Ronda ses Paisses (294),,38.96837,1.310362,2135,https://eivissa.tib.org/web/cie/parades/-/parada/294
391,297,Ibiza Gran Hotel (297),,38.918003,1.442685,1838,https://eivissa.tib.org/web/cie/parades/-/parada/297
393,299,C. de Montblanc (299),,38.892254,1.3956,1585,https://eivissa.tib.org/web/cie/parades/-/parada/299
395,301,Can Sord (301),,38.896824,1.391722,1602,https://eivissa.tib.org/web/cie/parades/-/parada/301
401,5135,Es Caliu (5135),,38.992958,1.486034,1692,https://eivissa.tib.org/web/cie/parades/-/parada/5135
402,5134,Can Reiet (5134),,38.986053,1.478264,2068,https://eivissa.tib.org/web/cie/parades/-/parada/5134
404,5146,ses Arcades (5146),,39.067127,1.494579,1620,https://eivissa.tib.org/web/cie/parades/-/parada/5146
405,410,Edén (410),,38.96638,1.310381,1746,https://eivissa.tib.org/web/cie/parades/-/parada/410
406,411,Racó des Sol (411),,38.970295,1.307319,1960,https://eivissa.tib.org/web/cie/parades/-/parada/411
407,408,H. Arenal (408),,38.97435,1.309099,2016,https://eivissa.tib.org/web/cie/parades/-/parada/408
408,409,H. Puchet (409),,38.970837,1.309805,1910,https://eivissa.tib.org/web/cie/parades/-/parada/409
409,412,es Pouet (412),,38.970173,1.304258,1999,https://eivissa.tib.org/web/cie/parades/-/parada/412
410,413,H. Bergantín (413),,38.967697,1.301729,1759,https://eivissa.tib.org/web/cie/parades/-/parada/413
417,440,Can Reialet (440),,38.928577,1.287414,1753,https://eivissa.tib.org/web/cie/parades/-/parada/440
418,441,Can Verger (441),,38.9227,1.286147,1815,https://eivissa.tib.org/web/cie/parades/-/parada/441
419,442,Sant Josep (442),,38.921764,1.292535,2124,https://eivissa.tib.org/web/cie/parades/-/parada/442
422,445,Can Rempuixa (445),,38.911163,1.315885,1856,https://eivissa.tib.org/web/cie/parades/-/parada/445
423,446,Can Puvil (446),,38.900852,1.321794,1598,https://eivissa.tib.org/web/cie/parades/-/parada/446
424,447,sa Cova Santa (447),,38.8979,1.33163,1974,https://eivissa.tib.org/web/cie/parades/-/parada/447
425,432,Cala Corral (432),,38.941113,1.243253,61,https://eivissa.tib.org/web/cie/parades/-/parada/432
430,439,Sant Agustí (439),,38.939632,1.290182,2191,https://eivissa.tib.org/web/cie/parades/-/parada/439
431,424,Port des Torrent (424),,38.96387,1.269369,76,https://eivissa.tib.org/web/cie/parades/-/parada/424
432,427,sa Plana - Comte (427),,38.950455,1.256983,1658,https://eivissa.tib.org/web/cie/parades/-/parada/427
435,428,Bar Stop (428),,38.949802,1.25188,2126,https://eivissa.tib.org/web/cie/parades/-/parada/428
439,423,Cala de Bou (423),,38.965378,1.277131,1802,https://eivissa.tib.org/web/cie/parades/-/parada/423
440,422,H. San Diego (422),,38.966484,1.28046,1737,https://eivissa.tib.org/web/cie/parades/-/parada/422
442,476,"sa Casilla, ses Salines (476)",,38.862255,1.388197,1844,https://eivissa.tib.org/web/cie/parades/-/parada/476
443,477,Can Teixidor (477),,38.85434,1.387917,1896,https://eivissa.tib.org/web/cie/parades/-/parada/477
444,474,Isla Blanca (474),,38.87614,1.391576,1794,https://eivissa.tib.org/web/cie/parades/-/parada/474
445,475,Sant Francesc (475),,38.86841,1.389325,1952,https://eivissa.tib.org/web/cie/parades/-/parada/475
446,470,Citubo (470),,38.881573,1.375606,1643,https://eivissa.tib.org/web/cie/parades/-/parada/470
447,471,La Ponderosa (471),,38.87982,1.371712,2148,https://eivissa.tib.org/web/cie/parades/-/parada/471
448,468,Can Fornís (468),,38.88298,1.387642,2083,https://eivissa.tib.org/web/cie/parades/-/parada/468
